"mosquito_id" "cup" "age_class" "isolate" "exposure" "infection_status" "daysPI" "censor"
561 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 33 1
562 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 33 1
563 "G3Ano2" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 33 1
564 "G1Cno2" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 33 1
565 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 33 1
566 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 33 1
567 "G3Ayes2" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 33 1
568 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 33 1
569 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 33 1
570 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 33 1
571 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 34 1
572 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 34 1
573 "G3Ano2" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 34 1
574 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 34 1
575 "G2Cno2" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 34 1
576 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 34 1
577 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 34 1
578 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 34 1
579 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 34 1
580 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 34 1
581 "G1Cyes1" "12-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 34 1
582 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 34 1
583 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 35 1
584 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 35 1
585 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 35 1
586 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 35 1
587 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 35 1
588 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 35 1
589 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 35 1
590 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 35 1
591 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 36 1
592 "G2Ano2" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 36 1
593 "G2Bno1" "8-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 36 1
594 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 36 1
595 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 36 1
596 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 36 1
597 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 36 1
598 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 36 1
599 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 36 1
600 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 36 1
601 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 36 1
602 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 37 1
603 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 37 1
604 "G2Dno2" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 37 1
605 "G3Dno2" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 37 1
606 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 37 1
607 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 37 1
608 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 37 1
609 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 37 1
610 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 37 1
611 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 38 1
612 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 38 1
613 "G2Cno2" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 38 1
614 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 38 1
615 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 38 1
616 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 38 1
617 "G2Cyes2" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 38 1
618 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 38 1
619 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 38 1
620 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 38 1
621 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 38 1
622 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 39 1
623 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 39 1
624 "G1Ano1" "12-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 40 1
625 "G3Bno1" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 40 1
626 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 40 1
627 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 40 1
628 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 40 1
629 "G2Ayes2" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 40 1
630 "G3Dyes1" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 40 1
631 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 41 1
632 "G2Byes2" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 41 1
633 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 41 1
634 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 42 1
635 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 42 1
636 "G2Ano1" "8-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 43 1
637 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 43 1
638 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 43 1
639 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 43 1
640 "G2Dno1" "8-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 44 1
641 "G3Cyes1" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 44 1
642 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 44 1
643 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 44 1
644 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 45 1
645 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 45 1
646 "G3Ano1" "4-day-old" "isolate A (40 gam/µl)" "no" "Uninfected control" 46 1
647 "G2Cno2" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 46 1
648 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 46 1
649 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 46 1
650 "G3Byes1" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 46 1
651 "G3Dno1" "4-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 47 1
652 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-uninfected" 47 1
653 "G3Dyes2" "4-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 47 1
654 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 47 1
655 "G3Cno1" "4-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 48 1
656 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 51 1
657 "G3Cyes2" "4-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 51 1
